T1: 1(0.98), 3(0.86), 5(0.92), 7(0.82), 9(0.93), 11(0.94), 13(0.85), 15(0.94), 17(0.94), 19(0.99), 21(0.9), 23(0.94), 25(0.83), 27(0.95), 29(0.89), 31(0.85), 34(0.82), 36(0.84), 38(0.96), 40(0.89), 42(0.89), 44(0.91), 46(0.91), 48(0.82), 50(0.98), 52(0.99), 54(0.9), 56(0.97), 58(0.88), 60(0.81), 62(0.88), 64(0.99), 66(0.9), 68(0.88), 70(0.93), 72(0.82), 74(1.0)
T1568: 2(0.92), 3(0.91), 5(0.95), 7(0.97), 9(0.81), 11(0.8), 14(0.91), 15(0.85), 17(0.85), 19(0.98), 22(0.9), 23(0.86), 25(0.94), 27(0.9), 29(0.92), 31(0.85), 34(0.97), 36(0.97), 39(0.94), 40(0.99), 42(0.81), 44(0.96), 46(0.98), 48(0.85), 51(0.98), 52(0.97), 55(0.85), 56(0.85), 58(0.86), 60(0.96), 62(0.99), 64(0.81), 66(0.83), 68(0.99), 70(0.93), 72(0.95), 75(0.84)
T1569: 2(0.93), 3(0.82), 5(0.99), 7(0.89), 9(0.93), 11(0.98), 14(0.98), 15(0.99), 18(0.99), 20(0.83), 22(0.92), 23(0.83), 25(0.91), 27(0.97), 29(0.84), 31(0.98), 34(0.94), 36(0.89), 38(0.89), 40(0.99), 42(0.86), 44(0.93), 46(0.89), 48(0.82), 50(0.93), 52(0.98), 55(0.96), 56(0.81), 58(0.86), 60(0.85), 62(0.82), 64(0.88), 66(0.84), 68(0.91), 70(0.91), 72(0.81), 75(0.82)
T1570: 2(0.99), 3(0.87), 5(0.96), 7(0.97), 9(0.88), 12(0.96), 14(0.92), 15(0.82), 18(0.85), 20(0.83), 22(0.92), 23(0.83), 25(0.88), 27(0.88), 29(0.81), 31(0.87), 34(0.95), 36(0.89), 38(0.93), 40(0.87), 42(0.94), 44(0.81), 46(0.91), 48(0.99), 50(0.82), 52(0.83), 55(0.96), 56(0.81), 58(1.0), 60(0.81), 62(0.92), 64(0.82), 66(0.94), 68(0.8), 70(0.95), 72(0.83), 75(0.94)
T1571: 2(0.99), 3(0.81), 5(0.99), 7(0.98), 9(0.84), 11(0.8), 14(0.88), 15(0.8), 18(0.98), 20(0.85), 22(0.93), 23(0.84), 25(0.98), 27(0.88), 29(0.84), 31(0.97), 34(1.0), 36(0.88), 38(0.94), 40(0.82), 42(0.95), 44(0.85), 46(0.89), 48(0.82), 50(0.9), 52(0.98), 55(0.94), 56(0.97), 58(0.98), 60(0.99), 62(1.0), 64(0.97), 66(0.81), 69(0.91), 70(0.91), 72(1.0), 75(0.93)
T1572: 2(0.83), 3(0.86), 5(0.99), 7(0.95), 9(0.85), 11(0.9), 13(0.96), 15(0.81), 17(0.89), 19(0.9), 22(0.9), 23(0.99), 25(1.0), 28(0.96), 29(0.92), 31(0.87), 34(0.93), 36(0.86), 38(0.85), 40(0.87), 42(0.92), 44(0.82), 46(0.83), 48(0.96), 50(0.91), 52(0.82), 54(0.94), 56(1.0), 58(0.9), 60(0.85), 62(0.88), 64(0.99), 66(0.85), 68(0.81), 70(0.88), 72(0.84), 75(0.82)
T1573: 2(0.95), 3(0.87), 5(0.97), 7(0.82), 9(0.97), 12(0.81), 13(1.0), 16(0.85), 17(0.99), 19(0.88), 22(0.8), 23(0.82), 25(0.91), 28(0.99), 29(0.91), 31(0.91), 34(0.97), 36(0.84), 38(0.88), 40(0.97), 42(0.91), 44(0.83), 46(1.0), 48(0.96), 50(0.9), 52(0.88), 54(0.81), 56(0.9), 58(0.97), 60(0.96), 62(0.85), 64(0.99), 66(0.89), 68(0.84), 70(0.94), 72(0.83), 75(0.84)
T1574: 2(0.85), 3(0.81), 5(0.85), 7(0.97), 9(0.86), 11(0.83), 13(0.92), 15(0.81), 17(0.87), 19(0.81), 22(0.82), 23(0.85), 25(0.83), 28(0.98), 29(0.9), 31(0.9), 34(0.9), 36(0.8), 38(0.88), 40(0.88), 42(0.92), 44(0.8), 46(0.89), 48(0.96), 51(0.88), 52(0.87), 54(0.99), 56(0.82), 58(0.92), 60(0.92), 62(0.84), 64(0.92), 66(0.93), 68(0.96), 70(0.89), 72(0.88), 75(0.87)
T1575: 2(0.82), 3(0.99), 5(0.97), 7(0.9), 9(0.92), 11(0.99), 14(0.98), 15(0.85), 17(0.96), 19(0.97), 22(0.93), 23(0.92), 25(0.94), 28(1.0), 29(0.87), 31(0.89), 34(0.93), 36(0.88), 38(0.87), 40(0.93), 42(0.8), 44(0.97), 46(0.87), 48(0.96), 50(0.92), 52(0.81), 54(0.98), 56(0.82), 58(0.94), 60(0.8), 62(0.99), 64(0.86), 66(0.83), 68(0.99), 70(0.86), 72(0.83), 75(0.95)
T1576: 2(0.96), 3(0.93), 5(0.95), 7(0.82), 9(0.95), 11(0.89), 14(0.81), 16(0.88), 17(0.81), 19(0.81), 22(0.88), 23(0.99), 25(0.91), 28(0.91), 29(1.0), 31(0.88), 34(0.83), 36(0.85), 38(0.96), 40(0.9), 42(0.96), 44(0.97), 46(0.92), 48(0.96), 50(0.9), 52(0.82), 54(0.81), 56(0.94), 58(0.96), 60(0.99), 62(0.85), 64(0.82), 66(0.98), 68(0.96), 70(0.86), 72(0.83), 75(0.9)
T1577: 2(0.97), 3(0.92), 5(0.89), 7(1.0), 9(0.92), 12(0.96), 14(0.85), 16(0.88), 17(0.81), 19(0.96), 22(0.84), 23(0.86), 25(0.9), 28(0.96), 29(0.92), 31(0.95), 34(0.87), 36(0.9), 38(0.93), 40(0.92), 42(0.83), 44(0.97), 46(0.97), 48(0.9), 50(0.84), 52(0.94), 54(0.98), 56(0.81), 58(0.88), 60(0.83), 62(0.96), 64(0.98), 66(0.87), 68(0.98), 70(0.98), 72(0.94), 75(0.84)
T1578: 2(0.81), 3(0.96), 5(0.92), 7(0.97), 9(0.82), 11(0.95), 14(0.89), 15(0.96), 17(0.96), 19(0.86), 22(0.94), 23(0.84), 25(0.94), 28(0.93), 29(0.87), 31(0.94), 34(0.98), 36(0.82), 38(0.83), 40(0.9), 42(0.85), 44(0.92), 46(0.92), 48(0.82), 51(0.99), 52(0.93), 54(0.99), 56(0.98), 58(0.93), 60(0.83), 62(0.85), 64(0.91), 66(0.91), 68(0.95), 70(0.81), 72(0.95), 75(0.86)
T1579: 2(0.91), 3(0.99), 5(0.95), 7(0.89), 9(0.95), 11(0.93), 14(0.89), 15(0.87), 18(0.85), 20(0.86), 22(0.89), 23(0.85), 25(0.84), 28(0.95), 29(0.96), 31(0.92), 34(1.0), 36(0.83), 38(0.95), 40(0.95), 42(0.87), 44(0.88), 46(0.92), 48(0.86), 50(0.82), 52(0.98), 54(0.81), 56(0.91), 58(0.83), 60(0.8), 62(0.92), 64(0.98), 66(0.91), 68(0.94), 70(0.96), 72(0.98), 75(0.88)
T1580: 2(0.92), 3(0.83), 5(0.94), 7(0.99), 9(0.92), 11(0.85), 14(0.84), 16(0.91), 18(0.93), 20(0.99), 22(0.94), 23(0.91), 25(0.81), 28(0.96), 29(0.81), 31(0.98), 34(0.95), 36(0.85), 38(0.87), 40(0.9), 42(0.88), 44(0.98), 46(0.92), 48(0.86), 50(0.94), 52(0.87), 54(0.95), 56(0.9), 58(0.82), 60(0.95), 62(0.87), 64(0.84), 66(0.92), 68(0.99), 70(1.0), 72(0.98), 75(0.81)
T1581: 2(0.92), 3(0.81), 5(0.93), 7(0.89), 9(0.97), 11(0.94), 14(0.97), 15(0.85), 18(0.91), 20(0.87), 22(0.82), 23(0.88), 25(0.88), 28(0.82), 29(0.89), 31(0.86), 34(0.94), 36(0.92), 38(0.9), 40(0.82), 42(0.96), 44(0.96), 46(0.92), 48(0.82), 50(0.97), 52(0.91), 54(0.85), 56(0.81), 58(0.83), 60(0.83), 62(0.88), 64(0.85), 66(0.99), 69(0.9), 70(0.93), 72(0.9), 75(0.87)
T1582: 2(0.92), 3(0.84), 5(0.93), 7(0.97), 9(0.94), 11(0.88), 13(0.84), 15(0.86), 17(0.91), 19(0.87), 22(0.98), 23(0.98), 25(0.86), 28(0.93), 29(0.98), 31(0.99), 34(0.88), 36(0.9), 38(0.89), 40(0.81), 42(0.88), 44(0.97), 46(0.87), 48(0.83), 50(0.82), 52(0.81), 55(0.97), 56(0.98), 58(0.96), 60(0.92), 62(0.86), 64(0.94), 66(0.9), 68(0.98), 70(0.89), 72(0.83), 75(0.98)
T1583: 2(0.98), 3(0.81), 5(0.92), 7(0.97), 9(0.97), 12(0.99), 13(0.81), 16(0.89), 17(0.93), 19(0.95), 22(0.9), 23(0.85), 25(0.83), 28(0.83), 29(0.94), 31(0.89), 34(0.91), 36(0.94), 38(0.99), 40(0.94), 42(0.97), 44(0.83), 46(0.98), 48(0.9), 50(0.89), 52(0.98), 55(0.84), 56(1.0), 58(0.87), 60(0.96), 62(0.85), 64(0.87), 66(0.94), 68(0.97), 70(0.96), 72(0.87), 75(0.82)
T1584: 2(0.86), 3(0.95), 5(0.96), 7(0.88), 9(0.99), 12(0.9), 13(0.86), 16(0.9), 17(0.89), 19(0.98), 22(0.95), 23(0.9), 25(0.82), 28(0.98), 29(0.97), 31(0.95), 34(0.85), 36(0.99), 38(0.86), 40(0.92), 42(0.88), 44(0.98), 46(0.96), 48(0.9), 50(0.95), 52(0.85), 55(0.94), 56(0.86), 58(0.99), 60(0.88), 62(0.96), 64(0.92), 66(0.99), 69(0.89), 70(0.81), 72(0.95), 75(0.97)
T1585: 2(0.88), 3(0.82), 5(0.96), 7(0.94), 9(0.82), 11(0.95), 13(0.86), 15(0.97), 17(0.97), 19(0.97), 22(0.81), 23(0.93), 25(0.98), 28(0.83), 29(0.95), 31(0.99), 34(0.8), 36(0.96), 38(0.97), 40(0.87), 42(0.92), 44(0.93), 46(0.93), 48(0.84), 51(0.96), 52(0.99), 55(0.94), 56(0.82), 58(0.94), 60(0.8), 62(0.84), 64(0.87), 66(0.87), 68(0.84), 70(0.97), 72(0.98), 75(0.96)
T1586: 2(0.99), 3(0.98), 5(0.8), 7(0.85), 9(1.0), 11(0.94), 13(0.83), 15(0.89), 17(0.92), 19(0.94), 22(0.95), 23(0.81), 25(0.8), 28(0.84), 29(0.85), 31(0.92), 34(0.9), 36(0.97), 38(1.0), 40(0.81), 42(0.81), 44(0.99), 46(0.99), 49(0.92), 50(0.84), 52(0.98), 55(0.96), 56(0.94), 58(0.86), 60(0.97), 62(0.98), 64(0.91), 66(0.99), 68(0.92), 70(0.84), 72(1.0), 75(0.86)
T1587: 2(0.88), 3(0.98), 5(0.85), 7(0.92), 9(0.91), 11(0.94), 14(0.89), 15(0.82), 17(1.0), 19(0.83), 22(1.0), 23(0.95), 25(0.94), 28(0.8), 29(0.87), 31(0.8), 34(0.83), 36(0.81), 38(0.92), 40(0.9), 42(0.83), 44(0.92), 46(0.91), 48(0.94), 50(0.99), 52(0.91), 55(0.88), 56(0.97), 58(0.91), 60(0.95), 62(0.82), 64(0.95), 66(0.97), 68(0.99), 70(0.81), 72(0.81), 75(0.9)
T1588: 2(0.95), 3(0.91), 5(1.0), 7(0.98), 9(0.97), 12(0.96), 14(0.86), 16(0.84), 17(0.92), 19(0.99), 22(0.89), 23(0.84), 25(0.93), 28(0.84), 29(0.86), 31(0.81), 34(0.82), 36(0.98), 38(0.85), 40(0.96), 42(0.89), 44(0.83), 46(0.96), 48(0.88), 50(0.82), 52(0.92), 55(0.92), 56(0.94), 58(0.92), 60(0.91), 62(0.85), 64(0.83), 66(0.8), 68(0.94), 70(0.97), 72(0.91), 75(0.9)
T1589: 2(0.94), 3(0.85), 5(0.86), 7(0.81), 9(0.87), 11(0.87), 14(0.93), 15(0.94), 17(0.94), 19(0.93), 22(0.82), 23(0.89), 25(1.0), 28(0.83), 29(0.87), 31(0.89), 34(0.88), 36(0.96), 38(0.88), 40(0.82), 42(0.85), 44(0.98), 46(0.87), 48(0.89), 51(1.0), 52(0.83), 55(0.96), 56(0.96), 58(0.9), 60(0.85), 62(0.89), 64(0.97), 66(0.82), 68(0.93), 70(0.96), 72(0.88), 75(0.99)
T1590: 2(0.93), 3(0.81), 5(0.89), 7(0.99), 9(0.94), 11(0.91), 14(0.99), 15(0.92), 18(0.9), 20(0.85), 22(0.84), 23(0.86), 25(0.93), 28(0.83), 29(0.84), 31(0.91), 34(0.9), 36(0.83), 38(0.88), 40(0.89), 42(0.98), 44(0.9), 46(0.81), 48(0.92), 50(0.87), 52(0.86), 55(0.99), 56(0.83), 58(0.99), 60(0.99), 62(0.89), 64(0.87), 66(0.85), 68(0.81), 70(0.8), 72(0.94), 75(0.93)
T1591: 2(0.95), 3(0.9), 5(0.96), 7(0.95), 9(0.99), 11(0.95), 13(0.82), 15(0.9), 17(0.91), 19(0.86), 22(0.8), 23(0.98), 26(0.98), 27(0.83), 29(0.99), 31(0.97), 34(0.92), 36(0.99), 38(0.88), 40(0.97), 42(0.9), 44(0.84), 46(0.84), 48(0.87), 50(0.94), 52(0.96), 54(0.92), 56(0.84), 58(0.8), 60(0.95), 62(0.81), 64(0.9), 66(0.89), 68(0.9), 70(0.83), 72(0.84), 75(0.91)
T1592: 2(0.96), 3(0.9), 5(0.84), 7(0.98), 9(0.82), 11(1.0), 13(0.97), 15(0.92), 17(0.91), 19(0.88), 22(0.92), 23(0.9), 26(0.94), 27(0.85), 29(0.95), 31(0.8), 34(0.88), 36(0.89), 38(0.88), 40(0.94), 42(0.88), 44(0.85), 46(0.85), 48(0.99), 50(0.98), 52(0.84), 54(0.9), 56(0.82), 58(0.96), 60(0.94), 62(0.91), 64(0.9), 66(0.99), 68(0.88), 71(0.84), 72(0.86), 75(0.96)
T1593: 2(0.81), 3(0.95), 5(0.85), 7(0.96), 9(0.99), 11(0.87), 14(0.9), 15(0.81), 17(0.97), 19(0.9), 22(0.84), 23(0.87), 26(0.98), 27(0.98), 29(0.84), 31(0.85), 34(0.94), 36(0.9), 38(0.88), 40(0.95), 42(0.84), 44(0.92), 46(0.92), 48(0.96), 50(0.92), 52(0.94), 54(0.98), 56(0.83), 58(0.83), 60(0.93), 62(0.92), 64(0.94), 66(0.9), 68(0.92), 70(0.83), 72(0.85), 75(0.9)
T1594: 2(0.94), 3(0.85), 5(0.84), 7(0.95), 9(0.9), 11(0.82), 13(0.83), 15(0.87), 17(0.88), 19(0.87), 22(0.89), 23(0.81), 26(0.87), 27(0.81), 29(0.95), 31(0.91), 34(0.83), 36(0.95), 38(0.86), 40(0.98), 42(0.91), 44(0.95), 46(0.92), 48(0.89), 50(0.93), 52(0.94), 55(0.92), 56(0.83), 58(0.83), 60(0.85), 62(0.8), 64(0.96), 66(0.87), 68(0.99), 70(0.95), 72(0.89), 75(0.92)
T1595: 2(0.82), 3(0.91), 5(0.81), 7(0.84), 9(0.98), 11(0.84), 13(1.0), 15(0.96), 17(0.98), 19(0.98), 22(0.85), 23(0.98), 26(0.8), 27(0.8), 29(0.88), 31(0.96), 34(0.93), 36(0.96), 38(0.86), 40(0.95), 42(0.88), 44(0.96), 46(0.9), 48(0.99), 51(0.81), 52(0.88), 55(0.84), 56(0.83), 58(0.86), 60(0.9), 62(0.84), 64(0.84), 66(0.91), 68(0.97), 70(0.81), 72(0.88), 75(0.95)
T1596: 2(0.88), 3(0.97), 5(0.99), 7(0.9), 9(0.94), 11(0.96), 13(0.88), 15(0.81), 17(0.92), 19(0.8), 22(0.95), 23(0.94), 26(0.95), 27(0.89), 29(0.8), 31(0.87), 34(0.98), 36(0.99), 39(0.89), 40(0.85), 42(0.96), 44(0.86), 46(0.96), 48(0.89), 50(0.93), 52(0.92), 55(0.84), 56(0.97), 58(0.91), 60(0.85), 62(0.93), 64(0.82), 66(0.85), 68(0.84), 70(0.9), 72(0.93), 75(0.83)
T1597: 2(0.81), 3(0.84), 5(0.83), 7(1.0), 9(0.84), 11(0.96), 13(0.92), 15(0.94), 17(0.91), 19(0.96), 22(0.81), 23(0.92), 26(0.86), 28(0.85), 29(0.84), 31(0.98), 34(0.85), 36(0.83), 38(0.81), 40(0.82), 42(0.83), 44(0.93), 46(0.9), 48(0.93), 50(0.94), 52(0.88), 54(0.98), 56(0.88), 58(0.87), 60(1.0), 62(0.81), 64(0.94), 66(0.88), 68(0.99), 70(0.88), 72(0.8), 75(0.94)
T1598: 2(0.99), 3(0.99), 5(0.93), 7(0.89), 9(0.84), 11(0.86), 14(0.93), 15(0.95), 17(0.95), 19(0.85), 22(0.99), 23(0.95), 26(0.84), 28(0.8), 29(0.83), 31(0.82), 34(0.82), 36(0.8), 38(1.0), 40(0.94), 42(0.87), 44(0.82), 46(0.98), 48(0.91), 50(0.96), 52(0.92), 54(0.8), 56(0.85), 58(0.83), 60(0.86), 62(0.99), 64(0.91), 66(0.9), 68(0.83), 70(0.93), 72(0.93), 75(0.92)
T1599: 2(0.98), 3(0.86), 5(0.95), 7(0.82), 9(0.88), 11(0.89), 13(0.83), 15(0.88), 17(0.99), 19(0.87), 22(0.94), 23(0.98), 26(0.85), 28(0.83), 29(0.92), 31(1.0), 34(0.92), 36(0.96), 38(0.97), 40(0.96), 42(0.89), 44(0.91), 46(0.96), 48(0.91), 50(0.93), 52(0.93), 55(0.88), 56(0.82), 58(1.0), 60(1.0), 62(0.82), 64(0.91), 66(0.94), 68(0.98), 70(0.88), 72(0.99), 75(0.87)
T1600: 2(0.97), 3(0.96), 5(0.92), 7(0.87), 9(0.93), 11(0.85), 14(0.98), 15(0.95), 17(0.81), 19(0.96), 22(0.97), 23(0.86), 26(0.98), 28(0.96), 29(0.99), 31(0.97), 34(0.93), 36(1.0), 38(0.91), 40(0.93), 42(0.97), 44(0.96), 46(0.82), 48(0.98), 50(0.95), 52(0.87), 55(0.93), 56(0.9), 58(0.93), 60(0.81), 62(0.87), 64(0.92), 66(0.96), 68(0.88), 70(0.82), 72(0.95), 75(0.98)
T1601: 1(0.81), 4(0.85), 5(0.94), 7(0.88), 9(0.93), 11(0.87), 13(0.88), 15(0.92), 17(0.98), 19(0.87), 21(0.94), 24(0.93), 25(0.92), 28(0.98), 29(0.85), 33(0.91), 34(0.85), 36(0.82), 38(0.88), 40(0.94), 42(0.91), 44(0.82), 46(0.94), 48(0.93), 51(0.99), 52(0.94), 54(0.99), 56(0.92), 58(0.84), 60(0.87), 62(0.82), 64(0.87), 66(0.84), 68(0.98), 70(0.96), 73(0.98), 74(0.82)
T1602: 1(0.89), 4(0.96), 5(0.81), 7(0.96), 9(0.86), 12(0.97), 13(0.9), 15(0.96), 17(0.8), 20(0.96), 21(1.0), 24(0.98), 25(0.91), 28(0.93), 29(0.82), 33(0.86), 34(0.82), 36(0.94), 38(0.86), 40(0.9), 42(0.84), 44(0.83), 47(0.9), 48(0.96), 51(1.0), 52(0.95), 54(0.92), 56(0.9), 58(0.87), 60(0.94), 62(0.82), 64(0.85), 66(0.85), 68(0.8), 70(0.97), 73(0.83), 74(0.81)
T1603: 1(0.85), 4(0.89), 6(0.98), 7(0.95), 9(0.94), 11(0.89), 13(0.98), 15(0.99), 17(0.85), 19(0.87), 21(0.82), 24(0.92), 25(0.82), 28(0.99), 29(0.88), 33(0.88), 34(0.99), 36(0.99), 38(0.93), 40(0.89), 42(0.84), 44(0.94), 46(0.83), 48(0.84), 50(0.82), 52(0.84), 54(0.83), 56(0.81), 58(0.85), 60(0.9), 62(0.87), 64(0.85), 66(0.94), 68(0.8), 71(0.85), 73(0.87), 74(0.95)
T1604: 1(0.92), 4(0.99), 5(0.82), 7(0.93), 10(0.83), 12(0.93), 13(0.93), 15(0.97), 17(0.92), 19(0.87), 21(0.82), 24(0.84), 25(0.87), 28(0.91), 29(0.87), 33(0.87), 34(0.92), 36(0.8), 38(0.84), 40(0.82), 42(0.87), 44(0.82), 46(0.86), 48(0.93), 50(0.89), 52(0.81), 54(0.8), 56(0.87), 58(0.83), 60(0.89), 62(0.97), 64(0.9), 66(0.82), 68(0.81), 71(0.94), 73(0.85), 74(0.93)
T1605: 1(0.99), 4(0.88), 5(0.86), 7(0.99), 9(0.93), 12(0.88), 13(0.86), 15(0.93), 17(0.91), 20(0.91), 21(0.81), 24(0.96), 25(0.97), 28(0.99), 29(0.93), 33(0.97), 34(0.99), 36(0.86), 38(0.93), 40(0.87), 42(0.82), 44(0.84), 47(0.87), 48(0.98), 50(0.98), 52(0.88), 54(0.92), 56(0.84), 58(0.86), 60(0.98), 62(0.84), 64(0.86), 66(0.98), 68(0.97), 70(0.86), 73(0.97), 74(0.9)
T1606: 1(1.0), 4(0.98), 5(0.97), 7(0.99), 9(0.82), 12(0.97), 13(0.84), 15(0.82), 17(0.81), 20(0.85), 21(0.81), 24(0.98), 25(0.94), 28(0.82), 29(0.88), 33(0.95), 34(0.97), 36(0.89), 38(0.81), 40(0.85), 42(0.83), 44(0.98), 47(0.99), 48(0.89), 50(0.91), 52(0.83), 54(0.82), 56(0.83), 58(0.92), 60(0.98), 62(0.98), 64(0.82), 66(0.97), 68(0.98), 71(0.98), 73(0.95), 74(0.95)
T1607: 1(0.99), 4(0.84), 5(0.91), 7(0.99), 9(0.82), 11(0.83), 13(0.83), 15(0.91), 17(0.82), 19(0.83), 21(0.82), 24(0.97), 25(0.83), 28(0.99), 29(0.96), 33(0.82), 34(0.89), 36(0.87), 38(0.82), 40(0.9), 42(0.92), 44(0.89), 46(0.97), 48(0.99), 51(0.91), 52(0.82), 54(0.87), 56(0.81), 58(0.92), 60(0.97), 63(0.83), 64(0.92), 66(0.86), 68(0.84), 70(0.93), 72(0.93), 74(0.84)
T1608: 1(0.9), 4(0.86), 6(0.89), 7(0.87), 9(0.89), 11(0.95), 13(0.99), 15(0.83), 17(0.81), 19(0.87), 21(0.92), 24(0.96), 25(0.95), 28(0.93), 29(0.99), 31(0.99), 34(0.9), 36(0.84), 38(0.82), 40(0.91), 42(0.82), 44(0.91), 46(0.97), 48(0.84), 50(0.82), 52(0.88), 54(0.97), 56(0.86), 58(0.84), 60(0.93), 62(0.81), 64(0.99), 66(0.94), 68(0.91), 71(0.98), 73(0.91), 74(0.92)
T1609: 1(0.96), 4(1.0), 5(0.96), 7(0.85), 10(0.94), 12(0.91), 13(0.95), 15(0.99), 17(0.83), 19(0.86), 21(0.91), 24(0.92), 25(0.99), 28(0.97), 29(0.93), 31(0.89), 34(0.92), 36(0.81), 38(0.86), 40(0.82), 42(0.98), 44(0.81), 46(0.86), 48(0.91), 50(0.91), 52(0.83), 54(0.98), 56(0.97), 58(0.9), 60(0.85), 62(0.89), 64(0.95), 66(0.97), 68(0.87), 71(0.98), 73(0.89), 74(0.91)
T1610: 1(0.88), 4(0.83), 5(0.97), 7(0.94), 9(0.87), 12(0.84), 13(0.87), 15(0.8), 17(0.89), 20(0.99), 21(0.84), 24(0.8), 25(0.89), 28(0.85), 29(0.83), 31(0.92), 34(0.86), 36(0.96), 38(0.87), 40(0.92), 42(1.0), 44(0.96), 47(0.95), 48(0.99), 50(0.86), 52(0.94), 54(0.95), 56(0.94), 58(0.92), 60(0.96), 62(0.99), 64(0.87), 66(0.99), 68(0.97), 70(1.0), 73(0.95), 74(0.86)
T1611: 1(0.9), 4(0.84), 5(0.92), 7(0.89), 9(0.84), 12(0.94), 13(0.98), 15(0.81), 17(0.97), 20(0.92), 21(0.89), 24(0.84), 25(0.9), 28(0.94), 29(0.94), 31(0.83), 34(0.94), 36(0.95), 38(0.82), 40(0.94), 42(0.83), 44(0.82), 47(0.96), 48(0.94), 50(0.98), 52(0.84), 54(0.89), 56(0.97), 58(0.85), 60(0.98), 62(0.81), 64(0.91), 66(0.84), 68(0.89), 71(0.9), 73(0.83), 74(0.81)
T1612: 1(0.96), 4(0.87), 6(0.94), 7(0.84), 9(0.83), 11(0.87), 13(0.86), 15(0.98), 17(0.86), 19(0.91), 21(0.9), 24(0.92), 25(0.93), 28(0.99), 29(0.87), 33(0.91), 34(0.99), 36(0.85), 39(0.98), 40(0.96), 42(0.94), 44(0.93), 46(0.96), 48(0.97), 51(0.99), 52(0.87), 54(0.85), 56(0.97), 58(0.98), 60(0.92), 62(0.86), 64(0.99), 66(0.99), 68(0.95), 71(0.94), 73(0.84), 74(0.88)
T1613: 1(0.84), 4(0.92), 5(0.99), 7(0.89), 10(0.92), 12(0.96), 13(0.86), 15(0.96), 17(0.98), 19(0.83), 21(0.81), 24(0.95), 25(0.81), 28(0.9), 29(0.92), 33(0.9), 34(0.98), 36(0.92), 39(0.82), 40(0.87), 42(0.82), 44(0.91), 46(0.9), 48(0.91), 51(0.91), 52(0.91), 54(0.93), 56(1.0), 58(0.81), 60(0.9), 62(0.89), 64(0.96), 66(0.85), 68(0.94), 71(0.8), 73(0.8), 74(0.87)
T1614: 1(0.86), 4(0.82), 5(0.92), 7(0.94), 9(0.95), 12(0.9), 13(1.0), 15(0.89), 17(0.87), 20(0.94), 21(0.86), 24(0.86), 25(0.96), 28(0.87), 29(0.87), 33(0.9), 34(0.94), 36(0.84), 39(0.98), 40(0.99), 42(0.97), 44(0.98), 47(0.98), 48(0.86), 51(0.84), 52(0.93), 54(0.97), 56(0.92), 58(0.9), 60(0.83), 62(0.82), 64(0.83), 66(0.94), 68(0.88), 71(0.82), 73(0.92), 74(0.99)
T1615: 1(0.95), 4(0.98), 6(0.93), 7(0.8), 9(0.81), 11(0.9), 13(0.82), 15(0.88), 17(0.9), 19(0.98), 21(0.87), 24(0.93), 25(0.8), 28(0.95), 29(0.92), 33(0.94), 34(0.88), 36(0.98), 39(0.87), 40(0.99), 42(0.98), 44(0.83), 46(0.85), 48(0.82), 50(0.93), 52(0.88), 54(0.99), 56(0.84), 58(0.98), 60(0.8), 62(0.95), 64(0.98), 66(0.97), 68(0.97), 71(0.95), 73(0.96), 74(1.0)
T1616: 1(0.99), 3(0.89), 5(0.97), 7(0.87), 9(0.86), 12(0.87), 13(0.99), 16(0.96), 18(0.89), 20(0.97), 21(0.92), 23(0.94), 25(0.93), 28(0.8), 29(0.84), 31(0.87), 34(0.86), 36(0.97), 38(0.97), 40(0.92), 42(0.85), 44(0.91), 47(0.81), 48(0.94), 51(0.96), 52(0.95), 54(0.83), 56(0.86), 58(0.99), 60(0.98), 62(0.86), 64(0.98), 66(0.9), 68(0.8), 70(0.87), 72(0.91), 74(0.85)
T1617: 1(0.97), 4(0.9), 5(0.84), 7(0.81), 9(0.92), 12(0.96), 13(0.82), 16(0.82), 18(0.89), 20(0.83), 21(0.86), 24(0.95), 25(0.89), 28(0.98), 29(0.99), 33(0.96), 34(0.94), 36(0.81), 38(0.99), 40(0.82), 42(0.95), 44(0.84), 46(0.96), 48(0.86), 50(0.97), 52(0.85), 54(0.84), 56(0.82), 58(0.96), 60(0.84), 62(0.95), 64(0.81), 66(0.96), 68(0.83), 70(0.92), 72(0.95), 74(0.84)
T1618: 1(0.94), 4(0.96), 5(0.81), 7(0.91), 9(0.99), 11(0.86), 13(0.94), 16(0.94), 18(0.92), 20(0.97), 21(0.85), 24(0.99), 25(0.93), 28(0.87), 29(0.91), 31(0.88), 34(0.99), 36(0.91), 38(0.88), 40(0.88), 42(0.86), 44(0.98), 46(0.98), 48(0.9), 51(0.97), 52(0.95), 54(0.86), 56(0.82), 58(1.0), 60(0.92), 62(0.97), 64(0.94), 66(0.96), 68(0.84), 70(0.87), 72(0.96), 74(0.87)
T1619: 1(0.91), 3(0.93), 5(0.99), 7(0.88), 9(0.97), 11(0.94), 13(0.92), 15(0.95), 17(0.91), 19(0.89), 21(0.87), 24(0.99), 25(0.99), 28(0.82), 29(0.89), 31(0.85), 34(0.99), 37(0.96), 38(0.8), 40(0.89), 42(0.89), 44(0.9), 46(1.0), 49(0.86), 51(0.94), 52(0.98), 54(0.91), 56(0.9), 58(0.96), 60(0.86), 62(0.89), 64(0.88), 66(0.95), 68(0.98), 70(0.84), 72(0.86), 74(0.98)
